 ,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Year
48,44,CJ McCollum,31,NOP,PG,75,75,35.3,7.8,17.9,.437,2.8,7.2,.389,5.0,10.7,.469,.515,2.4,3.2,.769,0.7,3.6,4.4,5.7,0.9,0.5,2.4,2.0,20.9,,2023
49,45,Jordan Clarkson,30,UTA,SG,61,61,32.6,7.5,16.9,.444,2.5,7.5,.338,5.0,9.4,.530,.519,3.3,4.0,.816,1.2,2.9,4.0,4.4,0.5,0.2,3.0,2.0,20.8,,2023
50,46,Karl-Anthony Towns,27,MIN,PF,29,29,33.0,7.3,14.8,.495,2.1,5.7,.366,5.2,9.1,.576,.565,4.1,4.7,.874,1.7,6.5,8.1,4.8,0.7,0.6,3.0,3.8,20.8,,2023
51,47,Tyrese Haliburton,22,IND,PG,56,56,33.6,7.4,15.0,.490,2.9,7.2,.400,4.5,7.8,.572,.586,3.1,3.6,.871,0.6,3.1,3.7,10.4,1.6,0.4,2.5,1.2,20.7,AS,2023
52,48,Jerami Grant,28,POR,PF,63,63,35.7,6.9,14.5,.475,2.3,5.7,.401,4.6,8.8,.523,.554,4.4,5.4,.813,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,20.5,,2023
53,49,Dejounte Murray,26,ATL,SG,74,74,36.4,8.3,17.8,.464,1.8,5.2,.344,6.5,12.6,.514,.514,2.1,2.6,.832,0.7,4.5,5.3,6.1,1.5,0.3,2.2,1.4,20.5,,2023
54,50,Bam Adebayo,25,MIA,C,75,75,34.6,8.0,14.9,.540,0.0,0.2,.083,8.0,14.7,.545,.541,4.3,5.4,.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4,"DPOY-5,AS",2023
55,51,Jordan Poole,23,GSW,PG,82,43,30.0,6.7,15.6,.430,2.6,7.8,.336,4.1,7.8,.524,.514,4.4,5.1,.870,0.4,2.4,2.7,4.5,0.8,0.3,3.1,2.6,20.4,,2023
56,52,Tyrese Maxey,22,PHI,SG,60,41,33.6,7.3,15.2,.481,2.7,6.2,.434,4.7,9.1,.513,.568,3.0,3.6,.845,0.4,2.6,2.9,3.5,0.8,0.1,1.3,2.2,20.3,,2023
57,53,Kelly Oubre Jr.,27,CHO,SF,48,40,32.3,7.4,17.1,.431,2.3,7.1,.319,5.1,10.0,.510,.497,3.3,4.3,.760,1.4,3.8,5.2,1.1,1.4,0.4,1.3,2.9,20.3,,2023
58,54,Mikal Bridges,26,2TM,SG,83,83,35.7,7.1,15.3,.468,2.0,5.3,.382,5.1,9.9,.514,.535,3.8,4.3,.895,1.0,3.4,4.4,3.3,1.1,0.7,1.5,1.9,20.1,,2023
59,54,Mikal Bridges,26,PHO,SF,56,56,36.4,6.3,13.6,.463,1.8,4.7,.387,4.5,9.0,.503,.529,2.8,3.1,.897,1.0,3.3,4.3,3.6,1.2,0.8,1.4,2.1,17.2,,2023
60,54,Mikal Bridges,26,BRK,SG,27,27,34.2,8.9,18.6,.475,2.5,6.7,.376,6.3,11.9,.531,.543,5.9,6.6,.894,0.9,3.6,4.5,2.7,1.0,0.6,1.8,1.6,26.1,,2023
61,Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,2023
62,55,Tyler Herro,23,MIA,SG,67,67,34.9,7.3,16.6,.439,3.0,8.0,.378,4.2,8.5,.497,.531,2.5,2.7,.934,0.4,5.0,5.4,4.2,0.8,0.2,2.4,1.5,20.1,,2023
63,56,Paolo Banchero,20,ORL,PF,72,72,33.8,6.7,15.6,.427,1.2,4.0,.298,5.5,11.6,.471,.465,5.5,7.4,.738,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20.0,ROY-1,2023
64,57,Louis King,23,PHI,PF,1,0,29.0,8.0,13.0,.615,4.0,8.0,.500,4.0,5.0,.800,.769,0.0,1.0,.000,2.0,2.0,4.0,2.0,1.0,0.0,2.0,4.0,20.0,,2023
65,58,Jamal Murray,25,DEN,PG,65,65,32.8,7.3,16.0,.454,2.6,6.6,.398,4.6,9.4,.494,.537,2.8,3.3,.833,0.7,3.2,4.0,6.2,1.0,0.2,2.2,1.6,20.0,,2023
66,59,Cade Cunningham,21,DET,PG,12,12,33.3,7.8,18.7,.415,1.4,5.1,.279,6.3,13.6,.466,.453,3.0,3.6,.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9,,2023
67,60,RJ Barrett,22,NYK,SG,73,73,33.9,7.0,16.1,.434,1.7,5.3,.310,5.3,10.8,.495,.485,4.0,5.4,.740,0.8,4.2,5.0,2.8,0.4,0.2,2.2,2.5,19.6,,2023
68,61,Jrue Holiday,32,MIL,PG,67,65,32.6,7.3,15.3,.479,2.4,6.1,.384,5.0,9.1,.542,.556,2.3,2.6,.859,1.2,3.9,5.1,7.4,1.2,0.4,2.9,1.7,19.3,"DPOY-7,AS",2023
69,62,Fred VanVleet,28,TOR,PG,69,69,36.7,6.3,16.1,.393,3.0,8.8,.342,3.3,7.3,.455,.486,3.7,4.1,.898,0.4,3.6,4.1,7.2,1.8,0.6,2.0,2.8,19.3,,2023
70,63,Kevin Porter Jr.,22,HOU,PG,59,59,34.3,6.6,15.0,.442,2.4,6.5,.366,4.2,8.5,.501,.522,3.5,4.5,.784,1.3,4.0,5.3,5.7,1.4,0.3,3.2,2.6,19.2,,2023
71,64,Domantas Sabonis,26,SAC,C,79,79,34.6,7.3,11.9,.615,0.4,1.1,.373,6.9,10.8,.639,.632,4.1,5.5,.742,3.2,9.1,12.3,7.3,0.8,0.5,2.9,3.5,19.1,"MVP-7,AS,NBA3",2023
72,65,Jaren Jackson Jr.,23,MEM,C,63,63,28.4,6.6,13.0,.506,1.6,4.5,.355,5.0,8.6,.585,.567,3.8,4.9,.788,1.7,5.0,6.8,1.0,1.0,3.0,1.7,3.6,18.6,"DPOY-1,AS",2023
73,66,Franz Wagner,21,ORL,SF,80,80,32.6,6.8,14.0,.485,1.6,4.5,.361,5.2,9.5,.544,.543,3.4,4.0,.842,0.9,3.2,4.1,3.5,1.0,0.2,2.1,2.3,18.6,,2023
74,67,Devin Vassell,22,SAS,SG,38,32,31.0,6.9,15.7,.439,2.7,7.0,.387,4.2,8.7,.480,.525,2.1,2.6,.780,0.2,3.7,3.9,3.6,1.1,0.4,1.5,1.5,18.5,,2023
75,68,Deandre Ayton,24,PHO,C,67,67,30.4,7.8,13.2,.589,0.1,0.4,.292,7.7,12.9,.597,.592,2.3,3.0,.760,2.6,7.4,10.0,1.7,0.6,0.8,1.8,2.8,18.0,,2023
76,69,Myles Turner,26,IND,C,62,62,29.4,6.5,11.8,.548,1.5,4.0,.373,5.0,7.8,.638,.612,3.5,4.5,.783,1.4,6.1,7.5,1.4,0.6,2.3,1.7,3.5,18.0,,2023
